Date,Close
1/2/2025 16:00:00,138.31
1/3/2025 16:00:00,144.47
1/6/2025 16:00:00,149.43
1/7/2025 16:00:00,140.14
1/8/2025 16:00:00,140.11
1/10/2025 16:00:00,135.91
1/13/2025 16:00:00,133.23
1/14/2025 16:00:00,131.76
1/15/2025 16:00:00,136.24
1/16/2025 16:00:00,133.57
1/17/2025 16:00:00,137.71
1/21/2025 16:00:00,140.83
1/22/2025 16:00:00,147.07
1/23/2025 16:00:00,147.22
1/24/2025 16:00:00,142.62
1/27/2025 16:00:00,118.42
1/28/2025 16:00:00,128.99
1/29/2025 16:00:00,123.7
1/30/2025 16:00:00,124.65
1/31/2025 16:00:00,120.07
2/3/2025 16:00:00,116.66
2/4/2025 16:00:00,118.65
2/5/2025 16:00:00,124.83
2/6/2025 16:00:00,128.68
2/7/2025 16:00:00,129.84
2/10/2025 16:00:00,133.57
2/11/2025 16:00:00,132.8
2/12/2025 16:00:00,131.14
2/13/2025 16:00:00,135.29
2/14/2025 16:00:00,138.85
2/18/2025 16:00:00,139.4
2/19/2025 16:00:00,139.23
2/20/2025 16:00:00,140.11
2/21/2025 16:00:00,134.43
2/24/2025 16:00:00,130.28
2/25/2025 16:00:00,126.63
2/26/2025 16:00:00,131.28
2/27/2025 16:00:00,120.15
2/28/2025 16:00:00,124.92
3/3/2025 16:00:00,114.06
3/4/2025 16:00:00,115.99
3/5/2025 16:00:00,117.3
3/6/2025 16:00:00,110.57
3/7/2025 16:00:00,112.69
3/10/2025 16:00:00,106.98
3/11/2025 16:00:00,108.76
3/12/2025 16:00:00,115.74
3/13/2025 16:00:00,115.58
3/14/2025 16:00:00,121.67
3/17/2025 16:00:00,119.53
3/18/2025 16:00:00,115.43
3/19/2025 16:00:00,117.52
3/20/2025 16:00:00,118.53
3/21/2025 16:00:00,117.7
3/24/2025 16:00:00,121.41
3/25/2025 16:00:00,120.69
3/26/2025 16:00:00,113.76
3/27/2025 16:00:00,111.43
3/28/2025 16:00:00,109.67
3/31/2025 16:00:00,108.38
4/1/2025 16:00:00,110.15
4/2/2025 16:00:00,110.42
4/3/2025 16:00:00,101.8
4/4/2025 16:00:00,94.31
4/7/2025 16:00:00,97.64
4/8/2025 16:00:00,96.3
4/9/2025 16:00:00,114.33
4/10/2025 16:00:00,107.57
4/11/2025 16:00:00,110.93
4/14/2025 16:00:00,110.71
4/15/2025 16:00:00,112.2
4/16/2025 16:00:00,104.49
4/17/2025 16:00:00,101.49
4/21/2025 16:00:00,96.91
4/22/2025 16:00:00,98.89
4/23/2025 16:00:00,102.71
4/24/2025 16:00:00,106.43
4/25/2025 16:00:00,111.01
4/28/2025 16:00:00,108.73
4/29/2025 16:00:00,109.02
4/30/2025 16:00:00,108.92
5/1/2025 16:00:00,111.61
5/2/2025 16:00:00,114.5
5/5/2025 16:00:00,113.82
5/6/2025 16:00:00,113.54
5/7/2025 16:00:00,117.06
5/8/2025 16:00:00,117.37
5/9/2025 16:00:00,116.65
5/12/2025 16:00:00,123
