Date,Close
1/2/2025 16:00:00,73.67
1/3/2025 16:00:00,73.31
1/6/2025 16:00:00,72
1/7/2025 16:00:00,72.09
1/8/2025 16:00:00,71.29
1/10/2025 16:00:00,71.2
1/13/2025 16:00:00,72.08
1/14/2025 16:00:00,71.17
1/15/2025 16:00:00,71.07
1/16/2025 16:00:00,71.11
1/17/2025 16:00:00,70.84
1/21/2025 16:00:00,73.17
1/22/2025 16:00:00,74.04
1/23/2025 16:00:00,74.29
1/24/2025 16:00:00,73.57
1/27/2025 16:00:00,75.58
1/28/2025 16:00:00,74.39
1/29/2025 16:00:00,76.58
1/30/2025 16:00:00,78.33
1/31/2025 16:00:00,76.9
2/3/2025 16:00:00,76.59
2/4/2025 16:00:00,76.72
2/5/2025 16:00:00,74.57
2/6/2025 16:00:00,71.74
2/7/2025 16:00:00,68.68
2/10/2025 16:00:00,70.94
2/11/2025 16:00:00,71.34
2/12/2025 16:00:00,72.26
2/13/2025 16:00:00,73.21
2/14/2025 16:00:00,73.04
2/18/2025 16:00:00,77.59
2/19/2025 16:00:00,76.78
2/20/2025 16:00:00,77.23
2/21/2025 16:00:00,76.5
2/24/2025 16:00:00,80.28
2/25/2025 16:00:00,81.72
2/26/2025 16:00:00,81.17
2/27/2025 16:00:00,80.02
2/28/2025 16:00:00,79.43
3/3/2025 16:00:00,78.41
3/4/2025 16:00:00,77.32
3/5/2025 16:00:00,77.81
3/6/2025 16:00:00,77.71
3/7/2025 16:00:00,78.59
3/10/2025 16:00:00,76.4
3/11/2025 16:00:00,74.17
3/12/2025 16:00:00,73.58
3/13/2025 16:00:00,72.64
3/14/2025 16:00:00,71.66
3/17/2025 16:00:00,73.7
3/18/2025 16:00:00,73.31
3/19/2025 16:00:00,72.99
3/20/2025 16:00:00,71.86
3/21/2025 16:00:00,67.94
3/24/2025 16:00:00,67.39
3/25/2025 16:00:00,66.54
3/26/2025 16:00:00,65.74
3/27/2025 16:00:00,65.8
3/28/2025 16:00:00,63.29
